player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,149593,21.3,66.0,True,save,assisted,right-foot,low-centre,0.023758988827467,1,0.0,23,45,2677,49.4,7.6,2.3,48.2,0.0,34.0,21.3,48.2,2.3,50.6,0,50.6,92.4,0.0254,,1.0,0-14 mins,0,0.0245794944137335,-0.0016410111725329996
Mikel Merino,mikel-merino,M. Merino,M,592010,7.7,50.9,True,goal,assisted,head,low-left,0.30274218320847,119,0.0,7134,2,66,54.1,18.4,,,,49.1,7.7,,,45.9,0,45.9,81.6,0.8161,regular,119.0,90+ mins,1,0.559421091604235,-0.51335781679153
Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,132645,9.5,46.4,False,save,assisted,head,low-left,0.058765780180693,117,0.0,6979,4,221,52.9,15.2,1.2,50.0,0.0,53.6,9.5,50.0,1.2,47.1,0,47.1,84.8,0.1843,,117.0,90+ mins,0,0.1215328900903465,-0.12553421981930699
Florian Wirtz,florian-wirtz,F. Wirtz,F,1019322,7.9,43.7,False,goal,assisted,right-foot,low-left,0.14343942701817,89,0.0,5301,2,99,54.5,17.1,,,,56.3,7.9,,,45.5,0,45.5,82.9,0.9557,regular,89.0,75-89 mins,1,0.549569713509085,-0.81226057298183
Robert Andrich,robert-andrich,R. Andrich,M,168903,18.7,47.0,False,save,assisted,right-foot,low-right,0.08935658633709,70,0.0,4140,21,1260,46.4,1.9,1.6,50.5,0.0,53.0,18.7,50.5,1.6,53.6,0,53.6,98.1,0.3108,,70.0,60-74 mins,0,0.200078293168545,-0.22144341366291004
Dani Olmo,dani-olmo,D. Olmo,M,789071,15.8,49.0,True,goal,assisted,right-foot,low-left,0.094113349914551,52,0.0,3060,39,2340,53.6,1.3,,,,51.0,15.8,,,46.4,0,46.4,98.7,0.361,regular,52.0,45-59 mins,1,0.2275566749572755,-0.266886650085449
Lamine Yamal,lamine-yamal,Lamine Yamal,F,1402912,24.5,37.3,True,save,assisted,left-foot,low-centre,0.034289691597223,45,0.0,2690,1,10,50.4,6.3,1.5,50.4,0.0,62.7,24.5,50.4,1.5,49.6,0,49.6,93.7,0.0224,,45.0,45-59 mins,0,0.028344845798611497,0.011889691597222998
Dani Olmo,dani-olmo,D. Olmo,M,789071,23.8,41.3,True,save,assisted,right-foot,low-centre,0.045090511441231,39,0.0,2326,7,374,51.6,4.4,1.6,51.6,0.0,58.7,23.8,51.6,1.6,48.4,0,48.4,95.6,0.0675,,39.0,30-44 mins,0,0.0562952557206155,-0.022409488558769
Kai Havertz,kai-havertz,K. Havertz,M,836705,15.8,52.1,False,save,assisted,right-foot,low-left,0.17537158727646,35,0.0,2052,11,648,52.5,0.6,3.6,49.6,0.0,47.9,15.8,49.6,3.6,47.5,0,47.5,99.4,0.1723,,35.0,30-44 mins,0,0.17383579363822999,0.0030715872764599805
Aymeric Laporte,aymeric-laporte,A. Laporte,D,149734,25.0,67.3,True,save,assisted,left-foot,low-centre,0.01704072393477,23,0.0,1328,23,1372,50.5,0.6,2.4,47.8,0.0,32.7,25.0,47.8,2.4,49.5,0,49.5,99.4,0.0317,,23.0,15-29 mins,0,0.024370361967385,-0.014659276065229997
